iso3c,country,income,hale_0,ghe_0,gdppc_0,year_0,hale_T,ghe_T,gdppc_T,year_T,d_hale,d_ghe,span
PLW,Palau,High income,59.03915095969,4.58880663,8.96152731929719,2000,59.6853618316145,5.79643393,9.57444175117553,2022,0.65,1.21,22
SLV,El Salvador,Upper middle income,61.4789558142788,3.94314837,7.59230104088785,2000,62.10868019258,6.12128019,8.53200339733244,2022,0.63,2.18,22
CAN,Canada,High income,67.3773394357378,6.00890827,10.0970375857291,2000,67.8630408940363,8.0003376,10.9376822145613,2022,0.49,1.99,22
GRD,Grenada,Upper middle income,62.8452643657975,1.86039817,8.48463448485327,2000,63.2844275441878,1.99874532,9.26250188268366,2022,0.44,0.14,22
MEX,Mexico,Upper middle income,62.5127260521041,1.91919184,8.92585679727368,2000,62.8930214380621,2.96899462,9.34155642705355,2022,0.38,1.05,22
PHL,Philippines,Lower middle income,61.7499106229216,1.3564229,6.95730014027653,2000,62.1291027885586,2.32400513,8.17415887698197,2022,0.38,0.97,22
SUR,Suriname,Upper middle income,60.9695505295227,2.84068179,7.59499591482723,2000,61.2631468965996,3.87608457,8.71348976901752,2022,0.29,1.04,22
PAN,Panama,High income,66.4031720078775,4.50806475,8.28780344482556,2000,66.6511393364774,4.75772953,9.7603349426113,2022,0.25,0.25,22
CUB,Cuba,Upper middle income,66.5848363758745,5.50884342,7.91985852682555,2000,66.8176504739535,11.3656826,9.17006627427811,2020,0.23,5.86,20
WSM,Samoa,Lower middle income,62.7748338329207,3.58244371,7.26175332323709,2000,63.0016040428866,5.02037048,8.26087189406793,2022,0.23,1.44,22
LBY,Libya,Upper middle income,62.9115261024169,1.61668956,8.88379277927221,2000,63.12683243716,3.1484828,8.69728508911884,2022,0.22,1.53,22
NIC,Nicaragua,Lower middle income,63.7298724887166,2.56718063,6.92491956960163,2000,63.9363845882059,5.15924931,7.75056761140444,2022,0.21,2.59,22
CRI,Costa Rica,Upper middle income,66.3028764091971,4.262187,8.24610701092126,2000,66.4926640736751,4.95363188,9.51972773471443,2022,0.19,0.69,22
FJI,Fiji,Upper middle income,58.6957652574825,2.63133216,7.59876052304939,2000,58.7400014591859,3.18935871,8.59508529187592,2022,0.04,0.56,22
DMA,Dominica,Upper middle income,64.6203216554299,3.36023808,8.49031497960669,2000,64.6524675781612,4.50666952,9.14031063043654,2022,0.03,1.15,22
MNE,Montenegro,Upper middle income,65.5718719394566,4.85758018,8.89913674294798,2011,65.590178393273,6.87829256,9.20936033651527,2022,0.02,2.02,11
